Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;Gmina;Powiat;Województwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeśli nie występuje w komórkach C1-G1);Miejscość (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Założyciela;Nazwa Organizatora I/ Założyciela;Nazwa Organizatora II/ Założyciela;Nazwa Organizatora III/ Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum;Data wykreślenia z rejestru;zakończenie procesu organizacji
501;Muzeum Kultury Romów w Warszawie (w organizacji);03-936;Warszawa;Warszawa (Praga-Południe);m. st. Warszawa;MAZOWIECKIE;ul.;Zwycięzców;3-;5 m. 1 ;;;;;;;Andrzej Grzymała – Kazłowski ;;;;;Utworzone przez osoby fizyczne;;
502;Muzeum Kurpiowskie w Wachu;07-420;Kadzidło;Kadzidło;ostrołęcki;MAZOWIECKIE;;Wach;14;;;;;;;;Zdzisław Bogdan Bziukiewicz;Laura Maria Bziukiewicz;;;;Utworzone przez osoby fizyczne;;
503;Muzeum Lalek w Pilźnie;39-220;Pilzno;Pilzno;dębicki;PODKARPACKIE;ul.;Grodzka;24;;;;;;;;Zofia Gągała-Bohaczyk;;;;;Utworzone przez osoby fizyczne;;
504;Muzeum Lisewski Zakątek w Lisewie (w organizacji);87-400;Lisewo ;Golub - Dobrzyń ;golubsko-dobrzyński;KUJAWSKO-POMORSKIE;;;56;;;;;;;;Tomasz Stefański ;;;;;Utworzone przez osoby fizyczne ;;
505;Muzeum Lwóweckie w Lwówku Śląskim (w organizacji);59-600;Lwówek Śląski;Lwówek Śląski;lwówecki ;DOLNOŚLĄSKIE;Plac ;Wolności ;22;;;;;;;;Dorota Zawadzka;Robert Zawadzki ;;;;Utworzone przez osoby fizyczne ;;
506;Muzeum Łączności w Redzie (w organizacji);84-240;Reda;Reda;wejherowski;POMORSKIE;ul.;Gniewowska;74;;;;;;;;Marcin Talaśka ;;;;;Utworzone przez osoby fizyczne;;
507;Muzeum Miasta Słupska ;76-200;Słupsk;Słupsk;m. Słupsk;POMORSKIE;ul.;Bauera;14;;;;;;;;Grzegorz Rataj ;;;;;Utworzone przez osoby fizyczne;;
508;Muzeum Militariów 1914-1945 (w organizacji);74-510;Trzcińsko-Zdrój;Trzcińsko-Zdrój;gryfiński;ZACHODNIOPOMORSKIE;ul.;Dworcowa;39;;;;;;;;Piotra Mańczak;Jakub Mańczak;;;;Utworzone przez osoby fizyczne;;
509;Muzeum Militariów „Atena” w Skwierzynie (w organizacji);66-440;Skwierzyna;Skwierzyna;międzyrzecki;LUBUSKIE;ul.;Rzeźnicka;1;;;;;;;;Agnieszka Kuś – Ratownictwo Drogowe Anhol”;;;;;Utworzone przez osoby fizyczne;;
510;Muzeum Militariów i Artefaktów w Brodnicy (w organizacji);87-300;Brodnica Karbowo;Brodnica;brodnicki;KUJAWSKO-POMORSKIE;ul.;Wczasowa;40a;;;;;;;;Grzegorz Kalisz ;;;;;Utworzone przez osoby fizyczne;;
511;Muzeum Militariów i Historii Galicji we Frysztaku (w organizacji);38-130;Frysztak;Frysztak;strzyżowski;PodkaRPACKIE;;Pułanki;23;;;;;;;;Michał Król;;;;;Utworzone przez osoby fizyczne;;
512;"Muzeum Militariów i Techniki Wojskowej ""Kompania Szklary"" (w organizacji)";48-388;Kamiennik;Kamiennik;nyski;OPOLSKIE;;Szklary;102;;;;;;;;Jan Kosakiewicz;;;;;Utworzone przez osoby fizyczne;;
513;Muzeum Militariów i Techniki w Woli Sękowej (w organizacji) ;28-505;Bukowsko;Bukowsko;sanocki;PODKARPACKIE;;Wola Sękowa;52;;;;;;;;Krzysztof Mindur;;;;;Utworzone przez osoby fizyczne;;
514;Muzeum Militariów w Gowarzewie (w organizacji);63-004;Gowarzewo;Kleszczewo;poznański;WIELKOPOLSKIE;ul.;Lawendowa;43;;;;;;;;Mikołaj Szczepaniak;;;;;Utworzone przez osoby fizyczne;;
515;Muzeum Militariów w Tywicy (w organizacji);74-110;Banie;Banie;gryfiński;ZACHODNIOPOMORSKIE;;Tywica;sty-32;;;;;;;;Patryk Wiśniewski;;;;;Utworzone przez osoby fizyczne;;
516;Muzeum Militarnej Historii w Bornem Sulinowie;78-449;Borne Sulinowo;Borne Sulinowo;szczecinecki;ZACHODNIOPOMORSKIE;ul.;Wojska Polskiego;1;;;;;;;;Wiesław Bartoszek; Agnieszka Bartoszek; Kamil Bartoszek ;;;Utworzone przez osoby fizyczne;;
517;Muzeum Militarnej Historii Ziemi Raciąskiej w Raciążu (w organizacji);09-140;Raciąż;Raciąż;płoński;MAZOWIECKIE;ul.;Lipowa;15;;;;;;;;Grzegorz Domański;;;;;Utworzone przez osoby fizyczne;;
518;Muzeum Mineralogiczne ze zbiorów Renaty Sokołowskiej w Szklarskiej Porębie;58-580;Szklarska Poręba;Szklarska Poręba;jeleniogórski;DOLNOŚLĄSKIE;ul.;Kilińskiego;20;;;;;;;;Renata Sokołowska;;;;;Utworzone przez osoby fizyczne;;
519;Muzeum Miniaturowej Sztuki Profesjonalnej Henryk Jan Dominiak w Tychach ;43-100;Tychy;Tychy;m. Tychy;ŚLĄSKIE;ul.;Żwakowska;8;66;;;;;;;Henryk Jan Dominiak ;;;;;Utworzone przez osoby fizyczne;;
520;Muzeum Misji Zagranicznych Wojska Polskiego w Feliksowie (w organizacji);05-083;Zaborów ;Zaborów ;warszawski zachodni;MAZOWIECKIE;ul. ;Świerkowa ;5;;;;;;;;Jacek Roszkowski ;;;;;Utworzone przez osoby fizyczne ;;
521;Muzeum Młynarstwa i Rolnictwa w Osiecznej;64-100;Leszno;Leszno;m. Leszno;WIELKOPOLSKIE;ul.;Dekana;8;;;;;;;;Jarosław Jankowski;;;;;Utworzone przez osoby fizyczne;;
522;Muzeum Młynarstwa, Techniki i Rzemiosła Wiejskiego im. Józefa Winiarskiego (w organizacji);33-316;Rożnów;Rożnów;nowosądecki;MAŁOPOLSKIE;;Roztoka Brzeziny;105;;;;;;;;Michał Winiarski;;;;;Utworzone przez osoby fizyczne;;
523;Muzeum Motocykli Zabytkowych w Stężycy ;83-322;Stężyca;Gołubie;kartuski;POMORSKIE;ul.;Marii Konpnickiej;4;;;;;;;;Jarosław Czapiewski ;;;;;Utworzone przez osoby fizyczne;;
524;Muzeum Motoryzacji (w organizacji);34-143;Lanckorona;Lanckorona;wadowicki;MAŁOPOLSKIE;;Lanckorona;290;;;;;;;;Józef Zaręba ;;;;;Utworzone przez osoby fizyczne;;
525;Muzeum Motoryzacji – „Bielskie Syreny.pl” w Łodygowicach (w organizacji);34-325;Łodygowice;Łodygowice;żywiecki;ŚLĄSKIE;ul. ;Kalinowa;1;;;;;;;;Krzysztof Rajski;;;;;Utworzone przez osoby fizyczne;;
526;Muzeum Motoryzacji im. Antoniego Steckiego;05-124;Skaryszew wieś Janówek Pierwszy;Wieliszew;legionowski;MAZOWIECKIE;ul.;Jaśminowa;29;;;;;;;;Marcin Lewandowski;;;;;;;
527;Muzeum Motoryzacji i Techniki „INDIV” w Siemianowicach Śląskich (w organizacji);41-106;Siemianowice Śląskie;Siemianowice Śląskie;Siemianowice Śląskie;ŚLĄSKIE;ul.;Niepodległości;61E;3;;;;;;;Leszek Bierski;;;;;Utworzone przez osoby fizyczne;;
528;Muzeum Motoryzacji i Techniki „MOTO-HOBBY” w Zielonkach (w organizacji);32-087;Zielonki;Zielonki;krakowski;MAŁOPOLSKIE;ul. ;Na Popielówkę;67D;2;;;;;;;Piotr Pelc;;;;;Utworzone przez osoby fizyczne;;
529;Muzeum Motoryzacji i Techniki w Białej Oleckiej (w organizacji);19-400;Olecko;Olecko;olecki;WARMIŃSKO-MAZURSKIE;;Biała Olecka;9;;;;;;;;Wojciech Kot;;;;;Utworzone przez osoby fizyczne;;
530;Muzeum Motoryzacji i Techniki w Chodowie (w organizacji);08-110;Siedlce;Chodów;siedlecki;MAZOWIECKIE;ul.;Węgrowska;113;;;;;;;;Jakub Wojciech Mroczek;;;;;Utworzone przez osoby Fizyczne;;
531;Muzeum Motoryzacji I Techniki w Chodzieży (w organizacji);64-800;Chodzież;Chodzież;chodzieski;WIELKOPOLSKIE;ul.;Józefa Piłsudskiego;9;;;;;;;;Wojciech Chyra;;;;;Utworzone przez osoby fizyczne;;
532;Muzeum Motoryzacji i Techniki w Kolonii Kołłątaja (w organizacji);59-226;Chojnów;Chojnów;legnicki;DOLNOŚLĄSKIE;;Kolonia Kołłątaja;40;;;;;;;;Michał Antoszczuk;;;;;Utworzone przez osoby fizyczne;;
533;Muzeum Motoryzacji i Techniki w Łoziskach (w organizacji);05-500;Łoziska;Lesznowola;piaseczyński;MAZOWIECKIE;ul.;Fabryczna;31;;;;;;;;Roman Mirkowski;;;;;Utworzone przez osoby fizyczne;;
534;Muzeum Techniki i Motoryzacji w Piastowie (w organizacji);05-820;Piastów;Piastów;pruszkowski;MAZOWIECKIE;ul. ;Mazowiecka;6A;;;;;;;;Ryszard Rozpondek;;;;;Utworzone przez osoby fizyczne;;
535;Muzeum Motoryzacji i Techniki Wojskowej „Bunkier” (w organizacji);36-060;Głogów Małopolski;Głogów Małopolski;rzeszowski;PODKARPACKIE;;Rudna Mała;48c;;;;;;;;Sebastian Mazur;;;;;Utworzone przez osoby fizyczne;;
536;Muzeum Motoryzacji w Będzinie (w organizacji);42-500;Będzin;Będzin;będziński;ŚLĄSKIE;ul.;Wilcza;36;;;;;;;;Dariusz Lemański;;;;;Utworzone przez osoby fizyczne;;
537;"Muzeum Motoryzacji i Techniki ,,SKARB NARODU"" w Warszawie (w organizacji)";02-384;Warszawa;Warszawa (Ochota);m. st. Warszawa;MAZOWIECKIE;ul.;Włodarzewska;51d;3;;;;;;;Robert Brykała ;;;;;Utworzone przez osoby fizyczne;;
538;Muzeum Motoryzacji i Techniki w Kobyłce (w organizacji);05-230;Kobyłka;Kobyłka;wołomiński;MAZOWIECKIE;ul.;Pionierska;7;;;;;;;;Jacek Brzozowski, Dariusz Brzozowski;;;;;Utworzone przez osoby fizyczne;;
539;Muzeum Motoryzacji i Techniki w Ligocie (w organizacji);43-518;Ligota ;Czechowice - Dziedzice;bielski ;ŚLĄSKIE;ul. ;Zaciszna ;8;;;;;;;;Paweł Soszka ;;;;;Utworzone przez osoby fizyczne ;;
540;Muzeum Motoryzacji i Techniki w Opaczy Kolonii (w organizacji);05-816;Opacz Kolonia;Michałowice-Osiedle;pruszkowski;MAZOWIECKIE;ul.;Mokra;6;;;;;;;;Tomasz Graczyk;;;;;Utworzone przez osoby fizyczne;;
541;Muzeum Motoryzacji i Techniki w Radomiu (w organizacji);26-600;Radom ;Radom ;radomski;MAZOWIECKIE;ul. ;Lubelska ;8;1;;;;Lubelska ;8;9;Artur Kwiecień ;;;;;Utworzone przez osoby fizyczne ;;
542;Muzeum Motoryzacji i Wojskowości w Tanowie (w organizacji);72-004;Tanowo;Szczecin;m. Szczecin;ZACHODNIOPOMORSKIE;ul.;Szczecińska;16A;;;;;;;;Leszek Budyłowski ;;;;;Utworzone przez osoby fizyczne;;
543;"Muzeum Motoryzacji „RIKO"" w Katowicach (w organizacji)";40-160;Katowice;Katowice;Katowice;ŚLĄSKIE;al.;Korfantego;59;12;;;;;;;Ryszard Rueckert;;;;;Utworzone przez osoby fizyczne;;
544;Muzeum Motoryzacji, Służb Mundurowych i Techniki Użytkowej w Radomiu (w organizacji);26-600 ;Radom;Radom;Radom;MAZOWIECKIE;ul.;11 Listopada;98;;;;;;;;Artur Rembowski ;;;;;Utworzone przez osoby fizyczne;;
545;Muzeum Motoryzacji, Techniki Budowlanej i Rolnej w Rębkowie;08-400;Garwolin;Garwolin;garwoliński;MAZOWIECKIE;ul. ;Spacerowa (Rębków);27;;;;;;;;Jaroslaw Pytel;;;;;Utworzone przez osoby fizyczne;;
546;Muzeum Motoryzacji w Bystrej (w organizacji);34-235;Bystra;Bystra;suski;MAŁOPOLSKIE;ul.;Bystra;502;;;;;;;;Michał Krauze;;;;;Utworzone przez osoby fizyczne;;
547;Muzeum Motoryzacji w Chorzowie ( w organizachi);41-503;Chorzów;Chorzów;Chorzówi;ŚLĄSKIE;UL.;Siemianowicka;50;;;;;;;;Kacper Gach;;;;;;;
548;Muzeum Motoryzacji w Gołogłowach;57-300;Kłodzko;Kłodzko;kłodzki;DOLNOŚLĄSKIE;;Gołogłowy;23A;;;;;;;;Marcin Oliwa;;;;;Utworzone przez osoby fizyczne;;
549;Muzeum Motoryzacji w Ludwikowicach Kłodzkich ;57-450;Ludwikowice Kłodzkie;Nowa Ruda;kłodzki;DOLNOŚLĄSKIE;ul.;Fabryczna ;26;;;;;;;;Kamil Marcinkowski;;;;;Utworzone przez osoby fizyczne;;DDK-WM.603.21.2021
550;Muzeum Motoryzacji w Wydrze (w organizacji);42-130;Wręczyca Wlk.;Wręczyca Wielka;kłobucki;ŚLĄSKIE;;Wydra ;14a;;;;;;;;Piotr Szczepanek;;;;;Utworzone przez osoby fizyczne;;
551;Muzeum Narwi w Tykocinie (w organizacji);16-080;Tykocin ;Tykocin ;białostocki;PODLASKIE;ul. ;Browarna ;17;;;;;;;;Adam Rudawski ;;;;;Utworzone przez osoby fizyczne ;;
552;Muzeum Obrony Wybrzeża w Świnoujściu;72-602;Świnoujście;Świnoujście;m. Świnoujście;ZACHODNIOPOMORSKIE;ul.;Bunkrowa;2;;;;;;;;Piotr Piwowarczyk;;;;;Utworzone przez osoby fizyczne;;
553;Muzeum Operacji i Działań Specjalnych (w organizacji);67-400;Wschowa;Wschowa;wschowski;LUBUSKIE;ul.;Słowackiego;3;;;;;;;;Piotr Makała ;;;;;Utworzone przez osoby fizyczne;;
554;Muzeum Oręża i Techniki Użytkowej im. ks. gen. Stanisława Brzóski w Łukowie (w organizacji);21-400;Łuków;Łuków;łukowski;LUBELSKIE;ul.;Farfak;42;;;;;;;;Jan Janusz Jastrzębski;;;;;Utworzone przez osoby fizyczne;;
555;Muzeum Oręża i Techniki Ziemi Zamojskiej w Lublinie ;22-420;Skierbieszów;Skierbieszów;zamojski;LUBELSKIE;ul.;Dolna Panny Marii;56;8;;;;;;;Marcin Potocki;;;;;Utworzone przez osoby fizyczne;;
556;Muzeum Oręża im. Oddziałów Partyzanckich Ziemi Opatowskiej w Męczennicach (w organizacji);27-540;Lipnik;Malice Kościelne;opatowski;ŚWIĘTOKRZYSKIE;ul.;Męczennice;8;;;;;;;;Janusz Orłowski;;;;;Utworzone przez osoby fizyczne;;
557;Muzeum Pacowa Chata w Krypnie Wielkim (w organizacji);19-111;Krypno Kościelne;Białobrzeskie;moniecki;PODLASKIE;ul.;Krypno Wielkie ;119;;;;;;;;Tomasz Pac;;;;;Utworzone przez osoby fizyczne;;
558;Muzeum Pałacowe Garnizonu Biedrusko (w organizacji);62-003;Biedrusko;Biedrusko;poznański;WIELKOPOLSKIE;ul.;1 Maja;82;;;;;;;;Jan Kucharski ;;;;;Utworzone przez osoby fizyczne;;
559;Muzeum ,,Patria Colbergiensis” w Kołobrzegu ;78-100;Kołobrzeg;Kołobrzeg;kołobrzeski;ZACHODNIOPOMORSKIE;ul.;Armii Krajowej;12;;;;;;;;Robert Aleksander Maziarz;;;;;Utworzone przez osoby fizyczne;;
560;Muzeum Pieców i Kultury Ogniowej (w organizacji);62-100;Wągrowiec;Wągrowiec;wągrowiecki;WIELKOPOLSKIE;;Łaziska;29;;;;;;;;Piotr Batura;;;;;Utworzone przez osoby fizyczne;;
561;Muzeum Piernika i Etnografii w Kopytowej;38-459;Kopytowa;Chorkówka;krośnieński;PODKARPACKIE;;Kopytowa;1;;;;;;;;Wojciech Kołder;;;;;Utworzone przez osoby fizyczne;;
562;Muzeum Piśmiennictwa i Drukarstwa w Grębocinie;87-122;Grębocin;Grębocin;toruński;KUJAWSKO-POMORSKIE;ul.;Szkolna;31;;;;;;;;Dariusz Subocz;;;;;Utworzone przez osoby fizyczne;;
563;Muzeum Po Bitwie (w organizacji);87-148;Łysomice;Łysomice;toruński;KUJAWSKO-POMORSKIE;;Kamionki Małe;23;;;;;;;;Olaf Popkiewicz;;;;;Utworzone przez osoby fizyczne;;
564;Muzeum Pojazdów Historycznych „Polskie Drogi” w Busku – Zdroju (w organizacji);28-100;Busko – Zdrój;Busko-Zdrój;buski;ŚWIĘTOKRZYSKIE;ul.;Żeromskiego;12A;;;;;;;;Edyta Łukasik; Marcin Łukasik;;;;Utworzone przez osoby fizyczne;;
565;Muzeum Pojazdów Militarnych – „MILITARY - KONARY” (w organizacji);05-660;Konary;Warka;grujecki;MAZOWIECKIE;;Konary;9;;;;;;;;Andrzej Jasiński;;;;;Utworzone przez osoby fizyczne;;
566;Muzeum Pojazdów Militarnych i Uzbrojenia (w organizacji);62-081;Przeźmierowo;Dąbrowa;poznański;WIELKOPOLSKIE;ul.;Piaskowa;17;;;;;;;;Anna Paczkowska-Jarecka;;;;;Utworzone przez osoby fizyczne;;
567;Muzeum Pojazdów Militarnych w Częstochowie (w organizacji);42-200;Częstochowa;Nowa Wieś;częstochowski;ŚLĄSKIE;ul.;Bukowa;25;;;;;;;;Karol Woldan;;;;;Utworzone przez osoby fizyczne;;
568;Muzeum Pojazdów Retro i Karawaningu w Łodzi (w organizacji); 92-403;Łódź;Łódź;Łódź;ŁÓDZKIE;ul.;Tranzytowa;5;;;;;;;;Jacek Przybyliński;;;;;Utworzone przez osoby fizyczne;;
569;Muzeum Pojazdów Wojska Polskiego w Xhodkowie Działkach (w organizacji);09-470;Bodzanów;Bodzanów;płocki;MAZOWIECKIE;ul.;Wyszogrodzka;20;;;;;;;;Marcin Bartczak, Dorota Kordulasińska;;;;;Utworzone przez osoby fizyczne;;
570;Muzeum Pojazdów Wojskowych i Uzbrojenia (w organizacji);84-107;Starzyno;Puck;pucki;POMORSKIE;;Kłanino;2;;;;;;;;Mateusz Deling;;;;;Utworzone przez osoby fizyczne;;
571;Muzeum Pojazdów Zabytkowych i Unikatowych w Gliwicach (w organizacji);44-151;Gliwice;Gliwice;Gliwice;ŚLĄSKIE;ul.;I. Daszyńskiego;546A;;;;;;;;Bronisław Keller;;;;;Utworzone przez osoby fizyczne;;
572;Muzeum Polskich Organów Elektronicznych w Gnieźnie (w organizacji);62-200;Gniezno;Gniezno;Gniezno;WIELKOPOLSKIE;ul.;Gdańska;77;;;;;;;;Wanda Jung, ;Jacek Jung;Dawid Jung;Maciej Jung;;;;
573;Muzeum Polskiej Motoryzacji XX wieku ,,Polska na Kołach” w Busku – Zdroju (w organizacji);28-100;Busko – Zdrój;Busko-Zdrój;buski;ŚWIĘTOKRZYSKIE;ul.;Podgaje;9;;;;;;;;Wojciech Łukasik; Arkadiusz Łukasik; Zofia Łukasik;;;Utworzone przez osoby fizyczne;;
574;Muzeum Pobojowisk w Wałyczu (w organizacji) ;87-200;Wąbrzeźno;Ryńsk;wąbrzeski;KUJAWSKO-POMORSKIE;ul.;Pszenna;8;;;;;;;;Dariusz Górski;;;;;Utworzone przez osoby fizyczne;;
575;Muzeum Pól Bitewnych Podkarpacia w Wysokiej Strzyżowskiej (w organizacji) ;38-123;Wysoka Strzyżowska;Strzyżów;strzyżowski;PODKARPACKIE;;;202A;;;;;;;;Marcin Łyko;;;;;Utworzone przez osoby fizyczne;28.02.2021- sprawa DDK-WM.603.23.2021;
576;Muzeum Pól Bitewnych Pomorza (w organizacji);84-217;Szemud;Szemud;wejherowski;POMORSKIE;ul. ;Wejherowska ;27;;;;;;;;Piotr Sroka ;;;;;Utworzone przez osoby fizyczne;;
577;Muzeum 1 Pułku Strzelców Konnych w Garwolinie (w organizacji);08-400;Garwolin;Garwolin;garwoliński;MAZOWIECKIE;ul.;Jana Pawła II;44a;;;;;;;;Przemysław Makulec;;;;;Utworzone przez osoby fizyczne;;
578;Muzeum Przedmiotów Historycznych i Zapomnianych;84-250;Gniewino Bychowo;Gniewino;wejherowski;POMORSKIE;;;38;;;;;;;;Jacek Bagnecki;;;;;Utworzone przez osoby fizyczne;;
579;Muzeum Przemysłu Wojennego w Pogórzu (w organizacji);43-430;Skoczów Pogórze;Dębowiec;cieszyński;ŚLĄSKIE;ul.;Zamek;54;;;;;;;;Przemysław Michalski ;;;;;Utworzone przez osoby fizyczne;;
580;Muzeum Przyrodnicze w Turzynie (w organizacji);89-240;Kcynia;Kcynia;nakielski;KUJAWSKO-POMORSKIE;;Turzyn;2;;;;;;;;Andrzej Morawski;;;;;Utworzone przez osoby fizyczne;;
581;Muzeum Przyrodniczo-Historyczne im. Stanisława Golewskiego w Warszawie (w organizacji);01-313;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;Karabeli;4;157;;;;;;;Honorata Stafiej-Szczęsna;;;;;Utworzone przez osoby fizyczne;;
582;Muzeum Radiotechniki (w organizacji);85-112;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;Mennica;2A;;;;;;;;Maria Kujawska; Jerzy Kujawski; Piotr Kujawski;;;Utworzone przez osoby fizyczne;;
583;Muzeum Ratownictwa i Medycyny w Mogilnie (w organizacji);88-300;Mogilno;Mogilno;mogileński;KUJAWSKO-POMORSKIE;ul.;Witosa;7;21;;;;;;;Grzegorz Jakubowski;;;;;Utworzone przez osoby fizyczne;;
584;Muzeum Regionalne ,,Jama Michalików” w Serocku (w organizacji);21-136;Firlej;Firlej;lubartowski;LUBELSKIE;;Serock;207;;;;;;;;Zygmunt Jan Michalik ;;;;;Utworzone przez osoby fizyczne;;
585;Muzeum Regionalne w Kierzkowie;74-300;Myślibórz;Myślibórz;myśliborski;ZACHODNIOPOMORSKIE;;Kierzków;6;;;;;;;;Mirosław Wójcik;;;;;Utworzone przez osoby fizyczne;;
586;Muzeum Regionalne w Nowogrodźcu (w organizacji);59-730;Nowogrodziec;Nowogrodziec;bolesławiecki;DOLNOŚLĄSKIE;ul.;Kamienna;3;;;;;;;;Piotr Nieratka;;;;;Utworzone przez osoby fizyczne;;
587;Muzeum Regionalne w Ruks Młynie (w organizacji);64-600;Oborniki;Oborniki;obornicki;WIELKOPOLSKIE;;Ruks Młyn;1;;;;;;;;Jan Czartoszewski i Joanna Czartoszewska ;;;;;Utworzone przez osoby fizyczne;;
588;Muzeum Regionalnego Pogranicza i Międzyrzeckiego Rejonu Umocnionego w Kaławie (w organizacji);66-300;Międzyrzecz;Międzyrzecz;międzyrzecki;LUBUSKIE;;Kaława;68A;;;;;;;;Piotr Szlachtycz;;;;;Utworzone przez osoby fizyczne;;
589;Muzeum Rodziny Knape w Dobrzanach (w organizacji);73-130;Dobrzany;Dobrzany;starogardzki;ZACHODNIOPOMORSKIE;ul.;Mickiewicza;9a;;;;;;;;Krzysztof Knape;;;;;Utworzone przez osoby fizyczne;;
590;Muzeum Rodziny Morsztynów w Ściborkach;19-520;Banie Mazurskie;Banie Mazurskie;gołdapski;WARMIŃSKO-MAZURSKIE;;Ściborki;6;;;;;;;;Justyna Morsztyn;Dariusz Morsztyn;;;;Utworzone przez osoby fizyczne;;
591;Muzeum Rolniczego Kombinatu Spółdzielczego Buszewko w Dębinie (w organizacji);62-080;Baranowo;Tarnowo Podgórne;poznański;WIELKOPOLSKIE;ul.;Perłowa;14;;;;;;;;Piotr Włodarczyk;;;;;Utworzone przez osoby fizyczne;;
592;Muzeum Rowerów w Żaganiu (w organizacji);68-100;Żagań;Żagań;Żagań;LUBUSKIE;ul.;Szkolna;68;;;;;;;;Stanisław Małachowski;;;;;Utworzone przez osoby fizyczne;;
593;Muzeum Samochodu Papieskiego JP2 w Kielcach;25-253;Kielce;Kielce;Kielce;ŚWIĘTOKRZYSKIE;ul.;Cmentarna;5A;;;;;;;;Marek Adamczak;;;;;Utworzone przez osoby fizyczne;;
594;Muzeum Saperskie „Explosive” (w organizacji);80-001;Gdańsk;Gdańsk;m. Gdańsk;POMORSKIE;;Trakt św. Wojciecha;336;;;;;;;;Piotr Bik;;;;;Utworzone przez osoby fizyczne;;
595;Muzeum - Skansen Młynarstwa w Żukowie (w organizacji) ;83-330;Żukowo;Żukowo;kartuski;POMORSKIE;ul.;Parkowa;1;;;;;;;;Maria Kujawska; Jerzy Kujawski; Piotr Kujawski ;;;Utworzone przez osoby fizyczne;;
596;Muzeum – Skansen w Ochabach – Tradycyjna Zagroda Rolna ;43-430;Skoczów;Dębowiec;cieszyński;ŚLĄSKIE;ul.;Główna;177;;;;;;;;Urszula i Maciej Bieniek ;;;;;Utworzone przez osoby fizyczne;;
597;Muzeum „Skarby Techniki” w Rotnowie (w organizacji);72-300;Gryfice;Gryfice;gryficki;ZACHODNIOPOMORSKIE;;Rotnowo;9;2;;;;;;;Marek Fornal;;;;;Utworzone przez osoby fizyczne;;
598;"Muzeum ""Skrzydła i Motory"" w Niedźwiedziu (w organizacji)";87-620;Kikół;Kikół;lipowski;KUJAWSKO-POMORSKIE;;Niedźwiedź;19;;;;;;;;Arkadiusz Wiśniewski;;;;;Utworzone przez osoby fizyczne;;
599;Muzeum Służb Mundurowych w Gdańsku (w organizacji);80-864;Gdańsk ;Gdańsk;m. Gdańsk;POMORSKIE;ul. ;ks. Jerzego Popiełuszki;6;; ;;;;;;Krzysztof Wojtaś;Jakub Kwiatkowski ;;;;Utworzone przez osoby fizyczne;;
600;Muzeum Spadochroniarstwa i Wojsk Specjalnych w organizacji ;43-460;Wisła;Wisła;cieszyński;ŚLĄSKIE;ul.;Przylesie;1a;;;;;;;;Piotr Wybraniec ;;;;;Utworzone przez osoby fizyczne;;
601;Muzeum Sprzętu Wojskowego w Mrągowie;11-700;Mrągowo;Mrągowo;mrągowski;WARMIŃSKO-MAZURSKIE;ul.;Przemysłowa;11C;;;;;;;;Sławomir Trzeciakiewicz;;;;;Utworzone przez osoby fizyczne;;
602;Muzeum Sprzętu Wojskowego we Wrocławiu (w organizacji);52-218;Wrocław;Wrocław (Wrocław-Krzyki);m. Wrocław;DOLNOŚLĄSKIE;ul.;Gen. Grota-Roweckiego;71B;;;;;;;;Zbigniew Łukaszczuk;;;;;Utworzone przez osoby fizyczne;;
603;Muzeum Stębark – Tannenberg 1914 w Kani Nowej (w organizacji);05-140;Kania Nowa;Serock;legionowski;MAZOWIECKIE;ul.;Wspólna;41;;;;;;;;Arkadiusz Radomski;;;;;Utworzone przez osoby fizyczne;;
604;"Muzeum Strategii i Taktyki Działań Zbrojnych ""CLAUSEWITZ"" (w organizacji)";02-972;Warszawa;Warszawa (Wilanów);m. st. Warszawa;MAZOWIECKIE;ul.;Sarmacka;9;104;;;;;;;Maciej Szalaty;;;;;Utworzone przez osoby fizyczne;;
605;Muzeum Szlachty Mazowieckiej w Szczawinie (w organizacji);07-440;Goworowo;Goworowo;ostrołęcki;MAZOWIECKIE;;Szczawin;8;;;;;;;;Anna Dorota Sawczuk;;;;;Utworzone przez osoby fizyczne;;
606;"Muzeum Sztuki i Historii w Warszawie „Okno do Wieczności"" (w organizacji)";00-697;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;al.;Jerozolimskie;51;1;;;;;;;Maria Magdalena Bogucka;;;;;Utworzone przez osoby fizyczne;;
607;"Muzeum Sztuki Inżynierskiej ,,KOPRAS"" w Fiałkowie (w organizacji)";62-070;Dopiewo;Dopiewo ;poznański;WIELKOPOLSKIE; ul.;Więckowska (wieś Fiałkowo);80;;;;;;;;Zbigniew Kopras ;;;;;Utworzone przez osoby fizyczne ;;
